Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,JanEraMean,JanEraMean_Source,FebEraMean,FebEraMean_Source,MarEraMean,MarEraMean_Source,AprEraMean,AprEraMean_Source,MayEraMean,MayEraMean_Source,JunEraMean,JunEraMean_Source,JulEraMean,JulEraMean_Source,AugEraMean,AugEraMean_Source,SepEraMean,SepEraMean_Source,OctEraMean,OctEraMean_Source,NovEraMean,NovEraMean_Source,DecEraMean,DecEraMean_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI,JanEraMean_Prophet,JanEraMean_Lower_CI,JanEraMean_Upper_CI,FebEraMean_Prophet,FebEraMean_Lower_CI,FebEraMean_Upper_CI,MarEraMean_Prophet,MarEraMean_Lower_CI,MarEraMean_Upper_CI,AprEraMean_Prophet,AprEraMean_Lower_CI,AprEraMean_Upper_CI,MayEraMean_Prophet,MayEraMean_Lower_CI,MayEraMean_Upper_CI,JunEraMean_Prophet,JunEraMean_Lower_CI,JunEraMean_Upper_CI,JulEraMean_Prophet,JulEraMean_Lower_CI,JulEraMean_Upper_CI,AugEraMean_Prophet,AugEraMean_Lower_CI,AugEraMean_Upper_CI,SepEraMean_Prophet,SepEraMean_Lower_CI,SepEraMean_Upper_CI,OctEraMean_Prophet,OctEraMean_Lower_CI,OctEraMean_Upper_CI,NovEraMean_Prophet,NovEraMean_Lower_CI,NovEraMean_Upper_CI,DecEraMean_Prophet,DecEraMean_Lower_CI,DecEraMean_Upper_CI
2000,Thailand,126000000000.0,Historical,1980.0,Historical,36.66941,Historical,28.37545,Historical,2.66313,Historical,63000000.0,Historical,31.386,Historical,1.13127,Historical,1147.24405,Historical,1446.80465,Historical,82.1,Historical,78.74346,Historical,3.68904,Historical,4.84567,Historical,40.39123,Historical,2.77458,Historical,4.66518,Historical,98.34,Historical,23.92,Historical,24.52,Historical,26.93,Historical,27.55,Historical,27.13,Historical,26.88,Historical,26.79,Historical,26.85,Historical,26.1,Historical,26.14,Historical,24.17,Historical,24.13,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Thailand,120000000000.0,Historical,1960.0,Historical,36.321,Historical,27.82677,Historical,4.21224,Historical,63700000.0,Historical,32.548,Historical,1.01585,Historical,1168.6854,Historical,1502.10976,Historical,90.4,Historical,81.1944,Historical,5.55633,Historical,11.86176,Historical,40.35065,Historical,2.88277,Historical,4.81258,Historical,103.7,Historical,24.84,Historical,25.69,Historical,26.56,Historical,29.68,Historical,27.27,Historical,27.21,Historical,27.11,Historical,26.92,Historical,26.75,Historical,26.34,Historical,23.31,Historical,23.61,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Thailand,134000000000.0,Historical,1980.0,Historical,36.89443,Historical,28.51503,Historical,2.48815,Historical,64300000.0,Historical,33.734,Historical,0.96203,Historical,1279.99042,Historical,1612.59912,Historical,91.0,Historical,81.92836,Historical,7.53125,Historical,27.17096,Historical,40.4327,Historical,3.03466,Historical,4.95301,Historical,111.06,Historical,23.38,Historical,25.81,Historical,27.43,Historical,28.87,Historical,27.74,Historical,27.73,Historical,27.38,Historical,26.61,Historical,26.32,Historical,26.25,Historical,25.29,Historical,24.86,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Thailand,152000000000.0,Historical,2170.0,Historical,37.91817,Historical,29.5805,Historical,3.43594,Historical,64900000.0,Historical,34.941,Historical,0.93195,Historical,1373.72755,Historical,1705.21238,Historical,91.6,Historical,82.03147,Historical,9.29903,Historical,33.3713,Historical,40.52813,Historical,3.12748,Historical,5.14043,Historical,118.21,Historical,23.08,Historical,25.53,Historical,26.74,Historical,29.06,Historical,28.59,Historical,27.57,Historical,27.33,Historical,27.2,Historical,26.56,Historical,26.39,Historical,25.47,Historical,22.71,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Thailand,173000000000.0,Historical,2520.0,Historical,37.9023,Historical,29.41897,Historical,3.38947,Historical,65500000.0,Historical,36.169,Historical,0.89608,Historical,1471.23365,Historical,1814.4887,Historical,92.2,Historical,82.0572,Historical,10.6773,Historical,41.28781,Historical,40.52773,Historical,3.3776,Historical,5.42554,Historical,127.25,Historical,23.79,Historical,24.42,Historical,27.98,Historical,29.21,Historical,27.89,Historical,27.26,Historical,26.98,Historical,27.09,Historical,26.61,Historical,26.06,Historical,25.5,Historical,22.62,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Thailand,189000000000.0,Historical,2770.0,Historical,38.50521,Historical,29.61507,Historical,4.33959,Historical,66000000.0,Historical,37.411,Historical,0.86009,Historical,1499.68663,Historical,1897.36285,Historical,92.8,Historical,81.8133,Historical,15.026,Historical,46.27713,Historical,40.32227,Historical,3.47146,Historical,5.56985,Historical,134.3,Historical,23.74,Historical,26.93,Historical,27.25,Historical,28.87,Historical,28.75,Historical,27.87,Historical,27.34,Historical,27.01,Historical,26.71,Historical,26.45,Historical,25.37,Historical,23.05,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Thailand,222000000000.0,Historical,3070.0,Historical,39.14686,Historical,30.16808,Historical,4.02126,Historical,66600000.0,Historical,38.673,Historical,0.83006,Historical,1516.59361,Historical,1982.50842,Historical,99.1,Historical,81.56143,Historical,17.1607,Historical,60.50325,Historical,39.75211,Historical,3.49725,Historical,5.60272,Historical,141.35,Historical,23.76,Historical,25.94,Historical,27.87,Historical,28.24,Historical,27.34,Historical,27.83,Historical,27.15,Historical,26.86,Historical,26.77,Historical,26.47,Historical,26.02,Historical,23.44,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Thailand,263000000000.0,Historical,3480.0,Historical,39.43137,Historical,30.58745,Historical,3.28357,Historical,67100000.0,Historical,39.95,Historical,0.80004,Historical,1568.26753,Historical,2051.71517,Historical,94.1,Historical,81.15234,Historical,20.03,Historical,79.27064,Historical,38.75093,Historical,3.54368,Historical,5.74731,Historical,146.27,Historical,23.4,Historical,25.45,Historical,28.03,Historical,28.63,Historical,27.4,Historical,28.17,Historical,27.41,Historical,27.11,Historical,26.9,Historical,25.87,Historical,23.77,Historical,24.34,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Thailand,291000000000.0,Historical,3900.0,Historical,39.47961,Historical,30.55473,Historical,2.93825,Historical,67600000.0,Historical,41.242,Historical,0.76816,Historical,1598.66547,Historical,2071.5373,Historical,94.8,Historical,80.57079,Historical,18.2,Historical,91.84432,Historical,37.34951,Historical,3.53295,Historical,5.73815,Historical,147.26,Historical,23.71,Historical,24.06,Historical,26.95,Historical,28.2,Historical,27.06,Historical,27.26,Historical,26.93,Historical,26.89,Historical,26.56,Historical,26.54,Historical,24.24,Historical,22.24,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Thailand,282000000000.0,Historical,4060.0,Historical,38.6086,Historical,29.46214,Historical,2.2759,Historical,68100000.0,Historical,42.543,Historical,0.73854,Historical,1581.02756,Historical,2062.45996,Historical,99.0,Historical,80.13354,Historical,20.1,Historical,97.25521,Historical,35.57863,Historical,3.40486,Historical,5.67866,Historical,147.05,Historical,21.78,Historical,26.19,Historical,27.12,Historical,28.34,Historical,27.57,Historical,27.46,Historical,27.01,Historical,27.31,Historical,26.98,Historical,26.7,Historical,24.79,Historical,23.86,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
